Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
Haier	Haier	Arctic Series	8862047	1U09EH2VHA	AW09EH2VHA	HRCU-A-CB-O	13	28	15.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"4,000"	"12,000"	"22,000"	0.25	0.90	1.65	4.79	3.91	3.91		"3,100"	"9,000"	"12,000"	0.26	0.82	1.18	3.49	3.22	2.98		"2,800"		"12,000"	0.26		1.58	3.16		2.23		55%	100%		Integrated	300W	"Mainly depending on outdoor temperature, but also subject to other running parameters, pressure, compressor speed etc."		N/A		z													
International Comfort Products	ARCOAIRE	High Wall System	8177085	DLCAHB09K1A	DLFAHH09K1A	HRCU-A-CB-O	10.3	30.5	15.7	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,388"	"9,000"	"13,240"	0.20	0.61	1.35	3.50	4.32	2.89		"2,388"	"5,500"	"13,240"	0.20	0.56	1.35	3.50	2.89	2.89		"2,388"		"10,488"	0.40		1.55	1.75		1.98		79%	79%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"2,388"	z	"8,560"	0.60		1.37	1.17		1.84						
International Comfort Products	ARCOAIRE	High Wall System	8177094	DLCAHB12K1A	DLFAHH12K1A	HRCU-A-CB-O	10.3	23	12.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"		"13,000"	0.40		1.38	2.25		2.76		100%	100%		Integrated	2994	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,071"	z	"9,800"	0.60		1.44	1.50		1.99						
International Comfort Products	ARCOAIRE	High Wall System	8177103	DLCAHB18K1A	DLFAHH18K1A	HRCU-A-CB-O	10.3	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,753"	"19,000"	"24,566"	0.35	1.80	2.50	3.14	3.10	2.88		"3,753"	"12,717"	"24,566"	0.35	1.49	2.50	3.14	2.50	2.88		"3,753"		"19,190"	0.55		1.97	2.00		2.85		78%	78%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,753"	z	"15,430"	0.75		2.14	1.47		2.11						
International Comfort Products	COMFORTMAKER	High Wall System	8177087	DLCAHB09K1A	DLFAHH09K1A	HRCU-A-CB-O	10.3	30.5	15.7	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,388"	"9,000"	"13,240"	0.20	0.61	1.35	3.50	4.32	2.89		"2,388"	"5,500"	"13,240"	0.20	0.56	1.35	3.50	2.89	2.89		"2,388"		"10,488"	0.40		1.55	1.75		1.98		79%	79%		Integrated	3001	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"2,388"	z	"8,560"	0.60		1.37	1.17		1.84						
International Comfort Products	COMFORTMAKER	High Wall System	8177096	DLCAHB12K1A	DLFAHH12K1A	HRCU-A-CB-O	10.3	23	12.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"		"13,000"	0.40		1.38	2.25		2.76		100%	100%		Integrated	2995	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,071"	z	"9,800"	0.60		1.44	1.50		1.99						
International Comfort Products	COMFORTMAKER	High Wall System	8177105	DLCAHB18K1A	DLFAHH18K1A	HRCU-A-CB-O	10.3	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,753"	"19,000"	"24,566"	0.35	1.80	2.50	3.14	3.10	2.88		"3,753"	"12,717"	"24,566"	0.35	1.49	2.50	3.14	2.50	2.88		"3,753"		"19,190"	0.55		1.97	2.00		2.85		78%	78%		Integrated	3001	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,753"	z	"15,430"	0.75		2.14	1.47		2.11						
International Comfort Products	DAY & NIGHT	High Wall System	8177084	DLCAHB09K1A	DLFAHH09K1A	HRCU-A-CB-O	10.3	30.5	15.7	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,388"	"9,000"	"13,240"	0.20	0.61	1.35	3.50	4.32	2.89		"2,388"	"5,500"	"13,240"	0.20	0.56	1.35	3.50	2.89	2.89		"2,388"		"10,488"	0.40		1.55	1.75		1.98		79%	79%		Integrated	3002	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"2,388"	z	"8,560"	0.60		1.37	1.17		1.84						
International Comfort Products	DAY & NIGHT	High Wall System	8177093	DLCAHB12K1A	DLFAHH12K1A	HRCU-A-CB-O	10.3	23	12.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"		"13,000"	0.40		1.38	2.25		2.76		100%	100%		Integrated	2996	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,071"	z	"9,800"	0.60		1.44	1.50		1.99						
International Comfort Products	DAY & NIGHT	High Wall System	8177102	DLCAHB18K1A	DLFAHH18K1A	HRCU-A-CB-O	10.3	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,753"	"19,000"	"24,566"	0.35	1.80	2.50	3.14	3.10	2.88		"3,753"	"12,717"	"24,566"	0.35	1.49	2.50	3.14	2.50	2.88		"3,753"		"19,190"	0.55		1.97	2.00		2.85		78%	78%		Integrated	3002	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,753"	z	"15,430"	0.75		2.14	1.47		2.11						
International Comfort Products	HEIL	High Wall System	8177081	DLCAHB09K1A	DLFAHH09K1A	HRCU-A-CB-O	10.3	30.5	15.7	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,388"	"9,000"	"13,240"	0.20	0.61	1.35	3.50	4.32	2.89		"2,388"	"5,500"	"13,240"	0.20	0.56	1.35	3.50	2.89	2.89		"2,388"		"10,488"	0.40		1.55	1.75		1.98		79%	79%		Integrated	3003	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"2,388"	z	"8,560"	0.60		1.37	1.17		1.84						
International Comfort Products	HEIL	High Wall System	8177090	DLCAHB12K1A	DLFAHH12K1A	HRCU-A-CB-O	10.3	23	12.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"		"13,000"	0.40		1.38	2.25		2.76		100%	100%		Integrated	2997	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,071"	z	"9,800"	0.60		1.44	1.50		1.99						
International Comfort Products	HEIL	High Wall System	8177099	DLCAHB18K1A	DLFAHH18K1A	HRCU-A-CB-O	10.3	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,753"	"19,000"	"24,566"	0.35	1.80	2.50	3.14	3.10	2.88		"3,753"	"12,717"	"24,566"	0.35	1.49	2.50	3.14	2.50	2.88		"3,753"		"19,190"	0.55		1.97	2.00		2.85		78%	78%		Integrated	3003	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,753"	z	"15,430"	0.75		2.14	1.47		2.11						
International Comfort Products	KEEPRITE	High Wall System	8177082	DLCAHB09K1A	DLFAHH09K1A	HRCU-A-CB-O	10.3	30.5	15.7	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,388"	"9,000"	"13,240"	0.20	0.61	1.35	3.50	4.32	2.89		"2,388"	"5,500"	"13,240"	0.20	0.56	1.35	3.50	2.89	2.89		"2,388"		"10,488"	0.40		1.55	1.75		1.98		79%	79%		Integrated	3004	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"2,388"	z	"8,560"	0.60		1.37	1.17		1.84						
International Comfort Products	KEEPRITE	High Wall System	8177091	DLCAHB12K1A	DLFAHH12K1A	HRCU-A-CB-O	10.3	23	12.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"		"13,000"	0.40		1.38	2.25		2.76		100%	100%		Integrated	2998	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,071"	z	"9,800"	0.60		1.44	1.50		1.99						
International Comfort Products	KEEPRITE	High Wall System	8177100	DLCAHB18K1A	DLFAHH18K1A	HRCU-A-CB-O	10.3	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,753"	"19,000"	"24,566"	0.35	1.80	2.50	3.14	3.10	2.88		"3,753"	"12,717"	"24,566"	0.35	1.49	2.50	3.14	2.50	2.88		"3,753"		"19,190"	0.55		1.97	2.00		2.85		78%	78%		Integrated	3004	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,753"	z	"15,430"	0.75		2.14	1.47		2.11						
International Comfort Products	KENMORE	High Wall System	8177086	DLCAHB09K1A	DLFAHH09K1A	HRCU-A-CB-O	10.3	30.5	15.7	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,388"	"9,000"	"13,240"	0.20	0.61	1.35	3.50	4.32	2.89		"2,388"	"5,500"	"13,240"	0.20	0.56	1.35	3.50	2.89	2.89		"2,388"		"10,488"	0.40		1.55	1.75		1.98		79%	79%		Integrated	3005	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"2,388"	z	"8,560"	0.60		1.37	1.17		1.84						
International Comfort Products	KENMORE	High Wall System	8177095	DLCAHB12K1A	DLFAHH12K1A	HRCU-A-CB-O	10.3	23	12.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"		"13,000"	0.40		1.38	2.25		2.76		100%	100%		Integrated	2999	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,071"	z	"9,800"	0.60		1.44	1.50		1.99						
International Comfort Products	KENMORE	High Wall System	8177104	DLCAHB18K1A	DLFAHH18K1A	HRCU-A-CB-O	10.3	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,753"	"19,000"	"24,566"	0.35	1.80	2.50	3.14	3.10	2.88		"3,753"	"12,717"	"24,566"	0.35	1.49	2.50	3.14	2.50	2.88		"3,753"		"19,190"	0.55		1.97	2.00		2.85		78%	78%		Integrated	3005	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,753"	z	"15,430"	0.75		2.14	1.47		2.11						
International Comfort Products	TEMPSTAR	High Wall System	8177083	DLCAHB09K1A	DLFAHH09K1A	HRCU-A-CB-O	10.3	30.5	15.7	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,388"	"9,000"	"13,240"	0.20	0.61	1.35	3.50	4.32	2.89		"2,388"	"5,500"	"13,240"	0.20	0.56	1.35	3.50	2.89	2.89		"2,388"		"10,488"	0.40		1.55	1.75		1.98		79%	79%		Integrated	3006	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"2,388"	z	"8,560"	0.60		1.37	1.17		1.84						
International Comfort Products	TEMPSTAR	High Wall System	8177092	DLCAHB12K1A	DLFAHH12K1A	HRCU-A-CB-O	10.3	23	12.7	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"	"13,000"	"13,000"	0.20	1.21	1.22	4.50	3.14	3.12		"3,071"		"13,000"	0.40		1.38	2.25		2.76		100%	100%		Integrated	3000	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,071"	z	"9,800"	0.60		1.44	1.50		1.99						
International Comfort Products	TEMPSTAR	High Wall System	8177101	DLCAHB18K1A	DLFAHH18K1A	HRCU-A-CB-O	10.3	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,753"	"19,000"	"24,566"	0.35	1.80	2.50	3.14	3.10	2.88		"3,753"	"12,717"	"24,566"	0.35	1.49	2.50	3.14	2.50	2.88		"3,753"		"19,190"	0.55		1.97	2.00		2.85		78%	78%		Integrated	3006	"The heater will operated based on temperature, it will activate at 37F outdoor ambient and below."		-22	"3,753"	z	"15,430"	0.75		2.14	1.47		2.11						
Lennox Industries	Lennox	ML-Series	8898934	MLA012S4S-1P	MMDA012S4-1P	N/A	10	19	12.5		Yes	Ductless	Single-zone	N/A		"3,752"	"12,000"	"17,021"	0.19	0.96	1.69	5.82	3.66	2.95		"3,292"	"8,500"	"12,986"	0.23	0.97	2.03	4.16	2.58	1.88		"2,718"		"12,341"	0.21		2.03	3.89		1.78		73%	95%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Lennox Industries	Lennox	ML-Series	8898935	MLA012S4S-1P	MWMA012S4-1P	N/A	10	22	12.5		Yes	Ductless	Single-zone	N/A		"3,660"	"12,000"	"15,600"	0.19	0.99	1.80	5.71	3.54	2.54		"2,928"	"7,800"	"13,159"	0.23	0.87	2.11	3.80	2.64	1.83		"2,562"		"12,038"	0.20		1.97	3.70		1.79		77%	91%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Lennox Industries	Lennox	ML-Series	9920041	MLA012S4S-1P	MWMA012S4-2P	HRCU-A-CB-O	10	22	12.5	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,660"	"12,000"	"15,600"	0.19	0.99	1.80	5.71	3.54	2.54		"2,928"	"7,800"	"13,159"	0.23	0.87	2.11	3.80	2.64	1.83		"2,562"		"12,038"	0.20		1.97	3.70		1.79		77%	91%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes. 2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Lennox Industries	Lennox	ML-Series	8898941	MLA024S4S-1P	MWMA024S4-1P	N/A	10	20	12.5		Yes	Ductless	Single-zone	N/A		"7,260"	"24,000"	"31,200"	0.45	1.95	3.27	4.72	3.60	2.80		"5,808"	"15,400"	"27,155"	0.54	1.64	4.33	3.15	2.76	1.84		"5,082"		"26,030"	0.49		4.29	3.06		1.78		83%	96%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Lennox Industries	Lennox	ML-Series	9920047	MLA024S4S-1P	MWMA024S4-2P	HRCU-A-CB-O	10	20	12.5	"24,000"	Yes	Ductless	Single-zone	Mini-Splits		"7,260"	"24,000"	"31,200"	0.45	1.95	3.27	4.72	3.60	2.80		"5,808"	"15,400"	"27,155"	0.54	1.64	4.33	3.15	2.76	1.84		"5,082"		"26,030"	0.49		4.29	3.06		1.78		83%	96%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Lennox Industries	Lennox	ML-Series	8994418	MLA030S4M-1P	Non-Ducted Indoor Units	N/A	10.4	22	13		Yes	Ductless	Multi-zone	N/A		"5,820"	"28,000"	"37,720"	0.90	2.35	3.48	1.91	3.50	3.18		"5,411"	"18,000"	"31,054"	0.92	1.93	4.18	1.72	2.74	2.18		"5,145"		"28,160"	1.01		4.04	1.50		2.04		75%	91%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Lennox Industries	Lennox	ML-Series	8898932	MLA009S4S-1P	MWMA009S4-1P	N/A	10.5	24	14.5		Yes	Ductless	Single-zone	N/A		"2,750"	"10,900"	"14,360"	0.16	0.83	1.35	5.07	3.86	3.12		"2,200"	"6,900"	"12,115"	0.19	0.74	1.82	3.38	2.74	1.96		"1,925"		"10,830"	0.17		1.70	3.28		1.87		75%	89%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Lennox Industries	Lennox	ML-Series	9920038	MLA009S4S-1P	MWMA009S4-2P	HRCU-A-CB-O	10.5	24	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,750"	"10,900"	"14,360"	0.16	0.83	1.35	5.07	3.86	3.12		"2,200"	"6,900"	"12,115"	0.19	0.74	1.82	3.38	2.74	1.96		"1,925"		"10,830"	0.17		1.70	3.28		1.87		75%	89%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
Lennox Industries	Lennox	ML-Series	8994421	MLA036S4M-1P	Non-Ducted Indoor Units	N/A	10.5	21.5	13.5		Yes	Ductless	Multi-zone	N/A		"7,210"	"36,000"	"50,350"	1.02	2.78	4.64	2.07	3.80	3.18		"6,845"	"23,200"	"38,125"	1.09	2.45	5.50	1.84	2.78	2.03		"6,425"		"36,000"	1.15		5.38	1.64		1.96		71%	94%		Integrated 	150	"1.When the unit power is on/in heating mode,and if the outdoor temperature drops below 3oC for 30 seconds,after running for 25mins, the base pan heater will be actived for 5 minutes.2.In defrost mode and the outdoor temperature lower 1oC for 10 seconds the base pan heater will be actived and will be 5 mins delay inactive after defrost."		N/A		z													
LG Electronics Canada	LG	Prestige (Canada)	6233140	LAU120HYV	LAN120HYV	HRCU-A-CB-O	11.5	25.5	14.1	"12,000"	Yes	Ductless	Single-Zone	Mini-Splits		"1,023"	"13,600"	"22,178"	0.06	0.86	1.98	5.00	4.63	3.28		676	"8,350"	"14,650"	0.07	0.69	1.50	2.83	3.55	2.86		633		"13,720"	0.07		1.47	2.65		2.74		62%	94%		Integrated	90	" Heater on when ambient temperature is equal and less than 0C; Heater off when ambient temperature is equal and greater than 1C; 1C deadband between on and off, heater is always turned on from 0C down if the unit is ""on"" and in ""heat"".  Heater turns off when outdoor temperature reaches 1C. Heater is not used in ""cool"" mode.  "		0				0.00		0.00	#DIV/0!		#DIV/0!						
LG Electronics Canada	LG	Prestige (Canada)	8584526	LAU240HYV1	LAN240HYV1	HRCU-A-CB-O	12	22	12.5	"22,000"	Yes	Ductless	Single-Zone	Mini-Splits		"3,070"	"27,000"	"35,200"	0.55	2.20	3.24	1.64	3.60	3.18		"2,333"	"17,200"	"27,410"	0.24	1.80	3.16	2.85	2.80	2.54		"1,929"		"23,690"	0.24		3.10	2.36		2.24		67%	86%		Integrated	120	" Heater on when ambient temperature is equal and less than 0C; Heater off when ambient temperature is equal and greater than 1C; 1C deadband between on and off, heater is always turned on from 0C down if the unit is ""on"" and in ""heat"".  Heater turns off when outdoor temperature reaches 1C. Heater is not used in ""cool"" mode.  "		0				0.00		0.00	#DIV/0!		#DIV/0!						
LG Electronics Canada	LG	Prestige (Canada)	8584525	LAU180HYV1	LAN180HYV1	HRCU-A-CB-O	12.5	24	13.5	"18,200"	Yes	Ductless	Single-Zone	Mini-Splits		"3,070"	"22,000"	"30,709"	0.55	1.69	2.49	1.64	3.82	3.61		"2,333"	"13,000"	"22,340"	0.24	1.37	2.44	2.85	2.78	2.68		"1,929"		"19,300"	0.24		2.39	2.36		2.37		63%	86%		Integrated	121	" Heater on when ambient temperature is equal and less than 0C; Heater off when ambient temperature is equal and greater than 1C; 1C deadband between on and off, heater is always turned on from 0C down if the unit is ""on"" and in ""heat"".  Heater turns off when outdoor temperature reaches 1C. Heater is not used in ""cool"" mode.  "		0				0.00		0.00	#DIV/0!		#DIV/0!						
LG Electronics USA	LG		8111355	LMU30CHV	Non-Ducted Indoor Units	HMSV-A-CB	10	22	13	"30,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"9,240"	"32,000"	"38,400"	1.04	2.49	3.49	2.60	3.80	3.20		"5,658"	"19,600"	"26,739"	0.88	2.10	2.55	1.90	2.70	3.10		"4,446"		"20,622"	0.84		2.42	1.60		2.50		54%	77%		Optional Accessory #PQSH1200	120W	" Heater on when ambient temperature is equal and less than 0C- Heater off when ambient temperature is equal and greater than 1C-1C deadband between on and off, heater is always turned on from 0C down if the unit is ""on"" and in ""heat"".  Heater turns off when outdoor temperature reaches 1C. Heater is not used in ""cool"" mode.  "		N/A		z													
LG Electronics USA	LG		7180063	LMU36CHV	Non-Ducted Indoor Units	HMSV-A-CB	10	22	13	"32,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"9,240"	"36,000"	"41,600"	1.13	2.74	3.84	2.40	3.90	3.20		"5,658"	"20,000"	"29,105"	0.92	2.24	2.79	1.80	2.60	3.10		"4,446"		"22,057"	0.87		2.60	1.50		2.50		53%	76%		Optional Accessory #PQSH1200	120W	" Heater on when ambient temperature is equal and less than 0C - Heater off when ambient temperature is equal and greater than 1C-1C deadband between on and off, heater is always turned on from 0C down if the unit is ""on"" and in ""heat"".  Heater turns off when outdoor temperature reaches 1C. Heater is not used in ""cool"" mode.  "		N/A		z													
LG Electronics USA	LG		8111358	LMU480HV	Non-Ducted Indoor Units	HMSV-A-CB	10	19.5	12.5	"48,000"	Yes	Ductless	Multi-zone	Non-ducted Indoor Units		"15,840"	"54,000"	"61,000"	1.42	4.32	6.02	3.30	3.70	3.00		"9,996"	"34,080"	"49,014"	0.99	3.02	5.07	3.00	3.30	2.80		"8,076"		"38,900"	0.85		4.52	2.80		2.50		64%	79%		Optional Accessory #PQSH1200	120W	" Heater on when ambient temperature is equal and less than 0C- Heater off when ambient temperature is equal and greater than 1C - 1C deadband between on and off, heater is always turned on from 0C down if the unit is ""on"" and in ""heat"".  Heater turns off when outdoor temperature reaches 1C. Heater is not used in ""cool"" mode.  "		N/A		z													
LG Electronics USA	LG		5859619	LUU187HV	LCN187HV	HRCU-A-CB-O	10.1	20	15	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"9,300"	"20,000"	"22,000"	0.74	1.50	1.78	3.70	3.90	3.60		"6,820"	"12,500"	"14,330"	0.69	1.27	1.54	2.90	2.90	2.70		"4,550"		"11,271"	0.55		1.47	2.40		2.20		51%	79%		N/A				N/A		z													
